# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.1.0 Build 186 12/03/2014 SJ Full Version
# File: C:\Users\Lenovo\Desktop\sdram_ov7670_vga.csv
# Generated on: Tue Mar 03 16:55:16 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLOCK,Input,PIN_E1,1,B1_N0,PIN_E1,,,,,,
SD_clk,Output,PIN_J15,5,B5_N0,PIN_J15,,,,,,
SD_cs,Output,PIN_K15,5,B5_N0,PIN_K15,,,,,,
SD_datain,Output,PIN_K16,5,B5_N0,PIN_K16,,,,,,
SD_dataout,Input,PIN_J16,5,B5_N0,PIN_J16,,,,,,
S_A[12],Output,PIN_T15,4,B4_N0,PIN_T15,,,,,,
S_A[11],Output,PIN_R16,5,B5_N0,PIN_R16,,,,,,
S_A[10],Output,PIN_R8,3,B3_N0,PIN_R8,,,,,,
S_A[9],Output,PIN_P15,5,B5_N0,PIN_P15,,,,,,
S_A[8],Output,PIN_P16,5,B5_N0,PIN_P16,,,,,,
S_A[7],Output,PIN_N15,5,B5_N0,PIN_N15,,,,,,
S_A[6],Output,PIN_N16,5,B5_N0,PIN_N16,,,,,,
S_A[5],Output,PIN_L15,5,B5_N0,PIN_L15,,,,,,
S_A[4],Output,PIN_L16,5,B5_N0,PIN_L16,,,,,,
S_A[3],Output,PIN_R9,4,B4_N0,PIN_R9,,,,,,
S_A[2],Output,PIN_T9,4,B4_N0,PIN_T9,,,,,,
S_A[1],Output,PIN_P9,4,B4_N0,PIN_P9,,,,,,
S_A[0],Output,PIN_T8,3,B3_N0,PIN_T8,,,,,,
S_BA[1],Output,PIN_T7,3,B3_N0,PIN_T7,,,,,,
S_BA[0],Output,PIN_R7,3,B3_N0,PIN_R7,,,,,,
S_CKE,Output,PIN_R14,4,B4_N0,PIN_R14,,,,,,
S_CLK,Output,PIN_R4,3,B3_N0,PIN_R4,,,,,,
S_DB[15],Bidir,PIN_R11,4,B4_N0,PIN_R11,,,,,,
S_DB[14],Bidir,PIN_T11,4,B4_N0,PIN_T11,,,,,,
S_DB[13],Bidir,PIN_R10,4,B4_N0,PIN_R10,,,,,,
S_DB[12],Bidir,PIN_T10,4,B4_N0,PIN_T10,,,,,,
S_DB[11],Bidir,PIN_T12,4,B4_N0,PIN_T12,,,,,,
S_DB[10],Bidir,PIN_R12,4,B4_N0,PIN_R12,,,,,,
S_DB[9],Bidir,PIN_T13,4,B4_N0,PIN_T13,,,,,,
S_DB[8],Bidir,PIN_R13,4,B4_N0,PIN_R13,,,,,,
S_DB[7],Bidir,PIN_P1,2,B2_N0,PIN_P1,,,,,,
S_DB[6],Bidir,PIN_P2,2,B2_N0,PIN_P2,,,,,,
S_DB[5],Bidir,PIN_R1,2,B2_N0,PIN_R1,,,,,,
S_DB[4],Bidir,PIN_T2,3,B3_N0,PIN_T2,,,,,,
S_DB[3],Bidir,PIN_R3,3,B3_N0,PIN_R3,,,,,,
S_DB[2],Bidir,PIN_T3,3,B3_N0,PIN_T3,,,,,,
S_DB[1],Bidir,PIN_T4,3,B3_N0,PIN_T4,,,,,,
S_DB[0],Bidir,PIN_R5,3,B3_N0,PIN_R5,,,,,,
S_DQM[1],Output,PIN_T14,4,B4_N0,PIN_T14,,,,,,
S_DQM[0],Output,PIN_N2,2,B2_N0,PIN_N2,,,,,,
S_NCAS,Output,PIN_T5,3,B3_N0,PIN_T5,,,,,,
S_NCS,Output,PIN_T6,3,B3_N0,PIN_T6,,,,,,
S_NRAS,Output,PIN_R6,3,B3_N0,PIN_R6,,,,,,
S_NWE,Output,PIN_N1,2,B2_N0,PIN_N1,,,,,,
altera_reserved_tck,Input,,,,PIN_H3,,,,,,
altera_reserved_tdi,Input,,,,PIN_H4,,,,,,
altera_reserved_tdo,Output,,,,PIN_J4,,,,,,
altera_reserved_tms,Input,,,,PIN_J5,,,,,,
key1,Input,PIN_E15,6,B6_N0,PIN_E15,,,,,,
lcd_blue[7],Output,PIN_J11,5,B5_N0,PIN_J11,,,,,,
lcd_blue[6],Output,PIN_G16,6,B6_N0,PIN_G16,,,,,,
lcd_blue[5],Output,PIN_K10,4,B4_N0,PIN_K10,,,,,,
lcd_blue[4],Output,PIN_K9,4,B4_N0,PIN_K9,,,,,,
lcd_blue[3],Output,PIN_G11,6,B6_N0,PIN_G11,,,,,,
lcd_blue[2],Output,PIN_F14,6,B6_N0,PIN_F14,,,,,,
lcd_blue[1],Output,PIN_F13,6,B6_N0,PIN_F13,,,,,,
lcd_blue[0],Output,PIN_F11,7,B7_N0,PIN_F11,,,,,,
lcd_dclk,Output,PIN_J12,5,B5_N0,PIN_J12,,,,,,
lcd_de,Output,PIN_K12,5,B5_N0,PIN_K12,,,,,,
lcd_green[7],Output,PIN_D14,7,B7_N0,PIN_D14,,,,,,
lcd_green[6],Output,PIN_F10,7,B7_N0,PIN_F10,,,,,,
lcd_green[5],Output,PIN_C14,7,B7_N0,PIN_C14,,,,,,
lcd_green[4],Output,PIN_E11,7,B7_N0,PIN_E11,,,,,,
lcd_green[3],Output,PIN_D12,7,B7_N0,PIN_D12,,,,,,
lcd_green[2],Output,PIN_D11,7,B7_N0,PIN_D11,,,,,,
lcd_green[1],Output,PIN_C11,7,B7_N0,PIN_C11,,,,,,
lcd_green[0],Output,PIN_E10,7,B7_N0,PIN_E10,,,,,,
lcd_hs,Output,PIN_J14,5,B5_N0,PIN_J14,,,,,,
lcd_red[7],Output,PIN_D9,7,B7_N0,PIN_D9,,,,,,
lcd_red[6],Output,PIN_C9,7,B7_N0,PIN_C9,,,,,,
lcd_red[5],Output,PIN_E9,7,B7_N0,PIN_E9,,,,,,
lcd_red[4],Output,PIN_F9,7,B7_N0,PIN_F9,,,,,,
lcd_red[3],Output,PIN_F7,8,B8_N0,PIN_F7,,,,,,
lcd_red[2],Output,PIN_E8,8,B8_N0,PIN_E8,,,,,,
lcd_red[1],Output,PIN_D8,8,B8_N0,PIN_D8,,,,,,
lcd_red[0],Output,PIN_E7,8,B8_N0,PIN_E7,,,,,,
lcd_vs,Output,PIN_K11,5,B5_N0,PIN_K11,,,,,,
rst_n,Input,PIN_E16,6,B6_N0,PIN_E16,,,,,,
RESET,Unknown,,,,,,,,,,
DATA0,Unknown,,,,,,,,,,
DCLK,Unknown,,,,,,,,,,
SCE,Unknown,,,,,,,,,,
SDO,Unknown,,,,,,,,,,
VGAD[0],Unknown,,,,,,,,,,
VGAD[1],Unknown,,,,,,,,,,
VGAD[2],Unknown,,,,,,,,,,
VGAD[3],Unknown,,,,,,,,,,
VGAD[4],Unknown,,,,,,,,,,
VGAD[5],Unknown,,,,,,,,,,
VGAD[6],Unknown,,,,,,,,,,
VGAD[7],Unknown,,,,,,,,,,
VGAD[8],Unknown,,,,,,,,,,
VGAD[9],Unknown,,,,,,,,,,
VGAD[10],Unknown,,,,,,,,,,
VGAD[11],Unknown,,,,,,,,,,
VGAD[12],Unknown,,,,,,,,,,
VGAD[13],Unknown,,,,,,,,,,
VGAD[14],Unknown,,,,,,,,,,
VGAD[15],Unknown,,,,,,,,,,
VGA_HSYNC,Unknown,,,,,,,,,,
VGA_VSYNC,Unknown,,,,,,,,,,
LED[0],Unknown,,,,,,,,,,
LED[1],Unknown,,,,,,,,,,
LED[2],Unknown,,,,,,,,,,
LED[3],Unknown,,,,,,,,,,
KEY1,Unknown,,,,,,,,,,
KEY2,Unknown,,,,,,,,,,
KEY3,Unknown,,,,,,,,,,
KEY4,Unknown,,,,,,,,,,
RXD,Unknown,,,,,,,,,,
TXD,Unknown,,,,,,,,,,
SDA,Unknown,,,,,,,,,,
SCL,Unknown,,,,,,,,,,
PS2_DAT,Unknown,,,,,,,,,,
PS2_CLK,Unknown,,,,,,,,,,
RTC_SCLK,Unknown,,,,,,,,,,
