# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Full Version
# File: E:/Project/AX301/verilog/sdram_ov5640_rgb_lcd_800480/sdram_ov5640_lcd.csv
# Generated on: Tue May 05 17:58:38 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
CLOCK,Input,PIN_E1,1,B1_N0,3.3-V LVTTL,,,,
CMOS_DB[7],Input,PIN_F3,1,B1_N0,3.3-V LVTTL,,,,
CMOS_DB[6],Input,PIN_F5,1,B1_N0,3.3-V LVTTL,,,,
CMOS_DB[5],Input,PIN_D1,1,B1_N0,3.3-V LVTTL,,,,
CMOS_DB[4],Input,PIN_D3,8,B8_N0,3.3-V LVTTL,,,,
CMOS_DB[3],Input,PIN_C3,8,B8_N0,3.3-V LVTTL,,,,
CMOS_DB[2],Input,PIN_D5,8,B8_N0,3.3-V LVTTL,,,,
CMOS_DB[1],Input,PIN_F6,8,B8_N0,3.3-V LVTTL,,,,
CMOS_DB[0],Input,PIN_E5,1,B1_N0,3.3-V LVTTL,,,,
CMOS_HREF,Input,PIN_F2,1,B1_N0,3.3-V LVTTL,,,,
CMOS_PCLK,Input,PIN_M1,2,B2_N0,3.3-V LVTTL,,,,
CMOS_SCLK,Output,PIN_C6,8,B8_N0,3.3-V LVTTL,,,,
CMOS_SDAT,Bidir,PIN_D6,8,B8_N0,3.3-V LVTTL,,,,
CMOS_VSYNC,Input,PIN_G5,1,B1_N0,3.3-V LVTTL,,,,
CMOS_XCLK,Output,PIN_D4,1,B1_N0,3.3-V LVTTL,,,,
KEY1,Input,PIN_E15,6,B6_N0,3.3-V LVTTL,,,,
LED[3],Output,PIN_D16,6,B6_N0,3.3-V LVTTL,,,,
LED[2],Output,PIN_F15,6,B6_N0,3.3-V LVTTL,,,,
LED[1],Output,PIN_F16,6,B6_N0,3.3-V LVTTL,,,,
LED[0],Output,PIN_G15,6,B6_N0,3.3-V LVTTL,,,,
