+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                           ;
+-----------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-----------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; u_sdram_vga_top|u_lcd_top|u_lcd_driver                                                                          ; 18    ; 1              ; 0            ; 1              ; 46     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|u_lcd_top                                                                                       ; 18    ; 0              ; 0            ; 0              ; 45     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[0]|auto_generated                                  ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[1]|auto_generated                                  ; 8     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[2]|auto_generated                                  ; 10    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[3]|auto_generated                                  ; 12    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[4]|auto_generated                                  ; 14    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[5]|auto_generated                                  ; 16    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[6]|auto_generated                                  ; 18    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[7]|auto_generated                                  ; 20    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[8]|auto_generated                                  ; 22    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[9]|auto_generated                                  ; 24    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[10]|auto_generated                                 ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[11]|auto_generated                                 ; 28    ; 0              ; 0            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[12]|auto_generated                                 ; 30    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[13]|auto_generated                                 ; 32    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[14]|auto_generated                                 ; 34    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0|altsqrt_component|subtractors[15]|auto_generated                                 ; 36    ; 0              ; 0            ; 0              ; 19     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|sqrt0                                                                                  ; 33    ; 12             ; 0            ; 12             ; 16     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|pa1|parallel_add_component|auto_generated                                              ; 55    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|pa1                                                                                    ; 55    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|pa0|parallel_add_component|auto_generated                                              ; 55    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|pa0                                                                                    ; 55    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2|ALTMULT_ADD_component|auto_generated|ded_mult3|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2|ALTMULT_ADD_component|auto_generated|ded_mult3                                      ; 28    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2|ALTMULT_ADD_component|auto_generated|ded_mult2|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2|ALTMULT_ADD_component|auto_generated|ded_mult2                                      ; 28    ; 9              ; 0            ; 9              ; 24     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2|ALTMULT_ADD_component|auto_generated|ded_mult1|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2|ALTMULT_ADD_component|auto_generated|ded_mult1                                      ; 28    ; 9              ; 0            ; 9              ; 24     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2|ALTMULT_ADD_component|auto_generated                                                ; 50    ; 0              ; 16           ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y2                                                                                     ; 34    ; 24             ; 0            ; 24             ; 18     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1|ALTMULT_ADD_component|auto_generated|ded_mult3|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1|ALTMULT_ADD_component|auto_generated|ded_mult3                                      ; 28    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1|ALTMULT_ADD_component|auto_generated|ded_mult2|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1|ALTMULT_ADD_component|auto_generated|ded_mult2                                      ; 28    ; 9              ; 0            ; 9              ; 24     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1|ALTMULT_ADD_component|auto_generated|ded_mult1|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1|ALTMULT_ADD_component|auto_generated|ded_mult1                                      ; 28    ; 9              ; 0            ; 9              ; 24     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1|ALTMULT_ADD_component|auto_generated                                                ; 50    ; 0              ; 16           ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y1                                                                                     ; 34    ; 24             ; 0            ; 24             ; 18     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y0|ALTMULT_ADD_component|auto_generated|ded_mult3|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y0|ALTMULT_ADD_component|auto_generated|ded_mult3                                      ; 28    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y0|ALTMULT_ADD_component|auto_generated|ded_mult2|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y0|ALTMULT_ADD_component|auto_generated|ded_mult2                                      ; 28    ; 9              ; 0            ; 9              ; 24     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_sdram_vga_top|Sobel_m0|y0|ALTMULT_ADD_component|auto_generated|ded_mult1|pre_result                           ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
